GEO_ID,Management occupations_telework_weighted,Business and financial operations occupations_telework_weighted,Computer and mathematical occupations_telework_weighted,Architecture and engineering occupations_telework_weighted,"Life, physical, and social science occupations_telework_weighted",Community and social service occupations_telework_weighted,Legal occupations_telework_weighted,"Arts, design, entertainment, sports, and media occupations_telework_weighted",Healthcare practitioners and technical occupations_telework_weighted,Healthcare support occupations_telework_weighted,Protective service occupations_telework_weighted,Food preparation and serving related occupations_telework_weighted,Building and grounds cleaning and maintenance occupations_telework_weighted,Personal care and service occupations_telework_weighted,Sales and related occupations_telework_weighted,Office and administrative support occupations_telework_weighted,"Farming, fishing, and forestry occupations_telework_weighted",Construction and extraction occupations_telework_weighted,"Installation, maintenance, and repair occupations_telework_weighted",Production occupations_telework_weighted,teleworker_estimate,total_workers,telework_score
01001,1248.0892857142858,948.0,617.0,230.28571428571428,213.36666666666667,330.0,348.25,333.4186046511628,117.95348837209302,46.55555555555555,97.24137931034483,76.0,0.0,181.25,1262.625,1809.5238095238094,4.0588235294117645,17.081967213114755,16.24074074074074,72.34234234234233,7969.283377905242,24124.0,0.33034668288448193
01003,6193.535714285714,3485.6000000000004,1146.0,977.3857142857142,339.78333333333336,548.0,786.625,1268.3720930232557,578.1395348837209,226.0,244.9655172413793,340.3529411764706,0.0,589.75,6673.874999999999,6145.142857142857,19.11764705882353,78.37704918032787,74.5925925925926,211.1261261261261,29926.741120330313,93379.0,0.3204868452256965
01005,457.2142857142857,213.60000000000002,105.0,23.914285714285715,7.4,46.0,33.25,15.069767441860465,32.93023255813954,21.666666666666664,35.44827586206897,19.647058823529413,0.0,19.0,368.875,632.1269841269841,13.529411764705882,7.852459016393443,7.944444444444444,60.765765765765764,2121.2346378991297,8720.0,0.24326085297008368
01007,256.35714285714283,124.80000000000001,80.0,33.214285714285715,5.550000000000001,72.5,3.5,25.74418604651163,40.372093023255815,40.55555555555555,33.241379310344826,18.88235294117647,0.0,60.0,366.16666666666663,515.7142857142857,5.0588235294117645,14.295081967213115,8.425925925925926,37.47747747747748,1741.8552567292534,8099.0,0.2150704107580261
01009,1172.767857142857,540.0,273.0,108.94285714285714,52.41666666666667,92.5,108.5,180.2093023255814,160.74418604651163,62.888888888888886,64.6896551724138,39.529411764705884,0.0,78.5,1026.4583333333333,1612.8888888888887,11.588235294117647,25.98360655737705,29.203703703703702,106.21621621621621,5747.027809144119,21346.0,0.2692320720108741
01011,147.33928571428572,65.60000000000001,5.0,7.085714285714285,0.0,14.5,78.75,22.6046511627907,14.604651162790697,7.0,16.96551724137931,5.88235294117647,0.0,20.25,171.70833333333331,225.58730158730157,3.1176470588235294,4.229508196721311,1.9259259259259258,43.69369369369369,855.8445823039366,3940.0,0.21721943713297884
01013,373.9642857142857,114.4,50.0,37.64285714285714,43.16666666666667,82.0,43.75,70.32558139534883,43.81395348837209,30.666666666666664,12.275862068965518,31.058823529411764,0.0,31.25,358.04166666666663,515.1111111111111,3.941176470588235,7.262295081967213,7.481481481481481,55.85585585585585,1912.0082833402453,7885.0,0.2424867829220349
01015,2318.4464285714284,1263.2,425.0,213.0142857142857,85.71666666666667,473.5,182.0,258.69767441860466,285.30232558139534,135.77777777777777,156.82758620689654,151.0,0.0,310.25,2941.7916666666665,3453.7777777777774,15.76470588235294,41.22950819672131,41.68518518518518,270.4954954954955,13023.477084141252,48157.0,0.27043788201385577
01017,717.5357142857142,354.40000000000003,160.0,52.25714285714285,66.60000000000001,77.0,80.5,77.86046511627907,69.95348837209302,39.77777777777778,53.37931034482759,39.88235294117647,0.0,83.5,643.5,1026.6031746031745,7.823529411764706,9.606557377049182,13.981481481481481,135.4054054054054,3709.5663999738863,14786.0,0.2508837007962861
01019,375.94642857142856,112.80000000000001,121.0,72.18571428571428,44.400000000000006,49.0,81.375,49.604651162790695,96.0,27.11111111111111,29.517241379310345,23.588235294117645,0.0,13.5,437.12499999999994,481.3333333333333,6.588235294117647,10.967213114754099,9.185185185185185,81.35135135135135,2122.5787000832142,9805.0,0.2164792146948714
01021,989.0892857142857,303.2,195.0,73.95714285714286,41.31666666666667,120.5,105.0,44.58139534883721,74.97674418604652,43.33333333333333,30.344827586206897,46.94117647058823,0.0,85.75,1028.0833333333333,1203.936507936508,11.058823529411764,30.311475409836067,21.22222222222222,98.01801801801801,4546.620952612437,17500.0,0.2598069115778535
01023,171.125,52.800000000000004,0.0,17.714285714285715,9.866666666666667,27.5,0.0,16.953488372093023,24.74418604651163,14.777777777777777,20.82758620689655,10.294117647058824,0.0,6.75,237.24999999999997,274.44444444444446,11.411764705882353,5.59016393442623,3.6296296296296293,25.765765765765764,931.4448769114387,4264.0,0.2184439204764162
01025,247.76785714285714,92.0,32.0,30.557142857142857,20.96666666666667,67.0,9.625,11.930232558139535,50.69767441860465,18.88888888888889,20.96551724137931,15.76470588235294,0.0,26.0,445.79166666666663,444.53968253968253,5.588235294117647,8.934426229508198,7.777777777777778,47.387387387387385,1604.1828615511722,7647.0,0.20977937250571102
01027,214.07142857142856,60.800000000000004,46.0,8.414285714285715,3.0833333333333335,34.0,32.375,29.511627906976745,31.348837209302324,16.22222222222222,5.241379310344827,12.176470588235293,0.0,35.25,178.75,318.4761904761905,4.823529411764706,5.049180327868853,5.333333333333333,61.53153153153153,1102.458349936818,5542.0,0.19892788703298772
