fips,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april
6001,-43.939765831633665,21.84732525080881,-8150.757575757573,19.96595165134492,45.807196487874414
6003,-49.088702513724414,53.89302156929535,-808.6513994910943,36.285408872260824,56.86523789503646
6011,-22.740659673099685,3.480461026121358,-178.26086956521743,10.001479508803088,16.213385890067368
6013,-47.57668280680832,22.58883160797683,-2965.9653465346532,18.62965997541992,44.64446423597477
6015,-10.728699043214059,5.827141181071564,-118.97344228804903,8.742097231305836,15.186657393028947
6019,-14.500765910040373,7.9671052347870255,-353.1572997416022,13.904138513513514,28.262117289485378
6025,-14.711711162759638,13.515703127966871,-341.2375249500998,10.827326856784717,20.70608283096171
6027,26.192707761180305,1.5525584130887768,-261.24925991711075,12.759489916963235,24.41382954867043
6041,-63.143508797335414,29.556847636196604,-4011.626746506987,20.215670215670208,44.53323920019578
6045,-24.1147384274701,9.013921003301839,-187.15809783225507,12.607766427588214,13.474650095586831
6051,-107.65467651635751,26.100296371731098,-412.2314552087556,27.08502651031388,26.866993216729345
6053,-21.26544658219927,14.568345323741006,-617.9154302670624,16.375121477162295,30.549556222783895
6059,-34.83538783872226,19.982197558422957,-1570.772946859903,20.394420394420383,47.12773273281504
6063,-88.37899936046969,4.340922724696082,-72.73316062176161,5.036577425408837,5.604306247731659
6073,-35.33492200172218,15.417264058624081,-1126.0154738878143,18.499758803666182,40.399386631421066
6081,-55.41772339347011,26.159561779971508,-8240.451388888889,22.110929408558196,50.493924637339525
6083,-18.27518025465764,12.568051018820976,-523.5810685893882,16.43217135657285,28.046557708226622
6087,-21.500531993037338,15.693836094712092,-1111.875,17.83698196337603,34.32149601998498
6095,-30.204837435895225,12.789932619896941,-706.7243675099868,17.631341522659454,35.210146975542706
6097,-30.314054307776367,13.965142658232404,-800.0,18.612556364897685,34.577442661324234
6099,-17.08526845437956,7.746461643852378,-300.09891196834826,12.014558818332816,27.399893824582872
6101,-11.959563060335565,4.944809624209347,-316.4525339043539,13.87493319080707,26.492751024572016
6107,-34.636439855989764,7.074786267640178,-215.65333333333334,10.529867178066631,20.222898337272735
6113,2.8873478066770843,6.288945398912526,-477.8721347694007,15.796349256787776,30.697522423322443
6115,-36.252370388782815,10.214099907776163,-218.31387808041504,11.68212673703663,22.07292421671962
11001,-5.6056008845708405,9.657252628740903,-1105.1954732510287,18.205604902568318,22.83537492369047
17001,-4.18846255941756,0.01945467061746403,-180.64372126244368,11.804736055385078,20.560455604535484
17003,-74.7946061701983,-34.020872525306814,-95.44257979598552,-0.5925925925925932,8.746096254829643
17005,-18.16070866696814,-9.565393401382181,-235.78857885788582,12.852404643449416,32.89563808474749
17007,-11.314807425420804,3.7478991596638824,-512.9457364341084,18.818818818818812,40.58177939185412
17009,-72.7187257313652,4.835091157585312,-227.66243752402926,12.322716589675023,20.234544495929537
17011,-13.157946378198066,-5.115104533709199,-256.34224755224324,11.560006138735423,31.334774920128616
17013,-45.120783827918245,13.492215492406997,-289.92109038737436,18.46130885754794,36.116421255508364
17015,-67.859971330337,0.1537906040627563,-211.59792435671108,12.57828606994204,22.977516927629644
17017,-44.65637876282709,-10.443735278474282,-165.71957326366208,9.592354667301139,1.2911070488210439
17019,-18.032191194594105,-12.764492164199318,-543.2117722328854,18.740902474526926,34.79655030135589
17021,-47.695048240781716,5.750557344562784,-324.0612715195879,17.64550862133874,38.6975354247943
17023,-44.26279162451332,-3.3453793354243135,-286.618439716312,16.044876993782104,36.336969386468375
17025,-50.90457300936346,5.371611667648795,-184.28724694467772,15.290857652210974,33.02996200309056
17027,-39.59927781323756,6.826741996233504,-388.3628819313467,19.645247657295844,43.71637593693888
17029,2.7455391828985736,-3.1894038658825252,-253.3798283261803,16.662767119014188,27.388419717943012
17031,-21.242510718294795,8.40385490342062,-1633.3798882681563,19.528619528619522,37.016523194672516
17033,-52.753945298624885,-20.31233004428561,-187.29538969815286,9.350084561488277,29.370880785586568
17035,-26.06966490438704,7.393683427630347,-251.4592453616843,17.15651696841446,36.13852771935839
17037,-8.863923637587657,-1.3762217200729838,-535.9113359836164,18.681478254556,34.58603235368208
17041,-31.738547276924017,-11.076682789197946,-311.343265503876,15.297562519784751,35.96354210355926
17043,-37.77369563372253,14.604492876287193,-3148.977135980746,21.527777777777786,48.63530258407727
17045,-11.056484638343452,-11.041763656114217,-264.69659657763464,12.907735321528396,32.966788059418825
17047,-49.36926757063936,-1.7640626157271178,-224.23045622097752,15.674306115397899,27.604648177788704
17049,-12.93092084101868,-11.967875238807196,-253.66013071895415,13.61344537815126,30.963572557425923
17051,-18.91227593442821,-3.2238493919114584,-227.58479352392658,11.43018018018017,25.117793373578152
17053,-51.66495000541212,-7.117848169048897,-281.6740905716406,12.982616303396878,24.734882044903188
17055,-22.08729123486529,3.6159662215239576,-243.57694784288478,15.783314458286135,32.826876562916794
17057,-42.939852511288834,3.1414411294179754,-239.41485864562787,14.76530690635323,28.04359724631044
17059,-46.21869838371771,-0.009323140033561184,-158.90928725701943,9.407831900668581,14.97368540355751
17061,-39.740509057165255,-7.731567056890524,-118.69182775902627,4.791924186238148,13.981710006457067
17063,-33.39950464036202,0.18918472809455225,-571.7960808969925,18.899651719634324,44.27758676003168
17065,-32.0907581955666,-7.180489660002152,-175.979602791197,10.351026013895599,30.002044816484513
17067,-54.230206115685554,3.51258259524813,-132.01910922745182,10.114900378926778,12.19040028957346
17069,-9.890353385178399,-54.368089642520665,-5.72348602887714,-27.901797838248875,-49.152575580501185
17071,-21.536190928313417,-0.5020799236224767,-62.70416545858703,5.9864807773553,10.493110714758929
17073,-52.99230143898641,-0.29559213015513863,-400.7249626307923,17.57430346315518,31.814161691743386
17075,-9.691243403905668,-4.983377434018584,-219.1301703163017,13.689864015541058,33.234037258537356
17077,-8.133065527255575,-4.887366554900375,-160.01108237901735,12.317327766179535,24.006671054450972
17079,-34.71653240587591,-3.746522350350471,-205.6085307085,14.364376346660269,33.432997188159746
17081,-14.297904011961323,3.172064331350547,-207.87823624595467,14.981403998140392,27.78081204431872
17083,-40.54933467177948,6.896138162628914,-235.71029082774047,13.422612175786966,34.67557074100698
17085,-70.69643469543504,6.9456586551178425,-482.74790919952204,19.20224038752652,30.936745236638536
17087,-45.15803880712876,7.370086144381519,-235.919540229885,15.957038741848848,40.215246587211105
